Name,Country : ,Age : ,Date Of Birth : ,Nickname : ,Tour Card Years : ,DDB Popularity : ,Career Earnings : ,Career 9 Darters : ,Favourite Double : ,Entrance Music : ,Home Town : ,Occupation : ,Former Job : ,Darts Sponsor : ,Darts Used : ,Average score,in this many matches
Phil Taylor,England,59,13/08/1960,The Power,2011-2017,13,"£7,634,754",21,20,Snap - The Power,Stoke,Professional,Factory Worker,Target,26g Target Power 9Five,101.73 per turn,717
Michael van Gerwen,Netherlands,30,25/04/1989,Mighty Mike,2011-2020,1,"£8,284,667",17,16,White Stripes - Seven Nation Army,Vlijmen,,,XQ-Max Darts,23g Mighty Mike XQ-Max Darts,100.86,958
Gary Anderson,Scotland,49,22/12/1970,The Flying Scotsman,2011-2020,7,"£4,044,772",4,20,House of Pain - Jump Around,Eyemouth,Professional,Petrikov,Unicorn,22g Gary Anderson,97.82,708
Rob Cross,England,29,21/09/1990,Voltage,2017-2020,5,"£1,604,600",1,,Electric Six - High Voltage,Edenbridge,Electrician,,Target,,97.69,410
Peter Wright,Scotland,50,10/3/70,Snake Bite,2011-2020,2,"£3,432,888",2,,Pitbull - Don't Stop The Party,West Lothian,,,Red Dragon Darts,,97.5,810
Ian White,England,49,17/08/1970,Diamond,2011-2020,16,"£1,219,058",5,,Wild Cherry - Play That Funky Music,,,,Red Dragon Darts,,96.73,499
David Chisnall,England,39,12/9/80,Chizzy,2011-2020,18,"£1,944,165",7,18,Vic Reeves and Wonder Stuff - Dizzy,St Helens,,,Target,,96.57,604
Glen Durrant,England,49,24/11/1970,Duzza,2019-2020,4,"£807,372",1,,Perfecto Allstarz - Reach Up,Middlesbrough,,,,,96.51,344
Raymond van Barneveld,Netherlands,53,20/04/1967,Barney,2011-2019,10,"£3,510,128",9,16,Survivor - Eye Of The Tiger,Den Haag,Professional,Postman,Unicorn,25g Unicorn,96.12,812
Michael Smith,England,29,18/09/1990,Bully Boy,2011-2020,9,"£1,714,685",3,,Walk the Moon - Shut up and Dance,St Helens,,Trainee Joiner,A180,,95.9,575
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,**all data from 2000-2020,,,,,,,,,,,,,,,,