fill_order_cw_from_top,number_ID,double,treble,angle_value,bullseye,double_bullseye,fill
1,20,40,60,18,25,50,red
2,1,2,3,18,25,50,green
3,18,36,54,18,25,50,red
4,4,8,12,18,25,50,green
5,13,26,39,18,25,50,red
6,6,12,18,18,25,50,green
7,10,20,30,18,25,50,red
8,15,30,45,18,25,50,green
9,2,4,6,18,25,50,red
10,17,34,51,18,25,50,green
11,3,6,9,18,25,50,red
12,19,38,57,18,25,50,green
13,7,14,21,18,25,50,red
14,16,32,48,18,25,50,green
15,8,16,24,18,25,50,red
16,11,22,33,18,25,50,green
17,14,28,42,18,25,50,red
18,9,18,27,18,25,50,green
19,12,24,36,18,25,50,red
20,5,10,15,18,25,50,green