Rank,Player,Country,Checkout_Percentage
1,Jan Dekker,Netherlands,(218/502) 43.43%
2,Michael van Gerwen,Netherlands,"(5,377/12,444) 43.21%"
3,Phil Taylor,England,"(2,532/5,910) 42.84%"
4,Nico Kurz,Germany,(53/124) 42.74%
5,Kirk Shepherd,England,(54/131) 41.22%
6,Michael van Gerwen+Raymond van Barneveld,Netherlands,(44/107) 41.12%
7,James Wade,England,"(2,550/6,202) 41.12%"
8,Peter Wright,Scotland,"(3,445/8,409) 40.97%"
9,Per Laursen,Denmark,(47/115) 40.87%
10,Rob Cross,England,"(1,536/3,771) 40.73%"
11,Glen Durrant,England,(375/922) 40.67%
12,Mensur Suljovic,Austria,"(1,647/4,073) 40.44%"
13,Raymond van Barneveld,Netherlands,"(2,283/5,647) 40.43%"
14,Gary Anderson,Scotland,"(2,788/6,931) 40.23%"
15,John Bowles,England,(53/132) 40.15%
16,Gerwyn Price,Wales,"(1,554/3,916) 39.68%"
17,Nathan Aspinall,England,"(546/1,380) 39.57%"
18,Kim Huybrechts,Belgium,"(1,076/2,720) 39.56%"
19,Daryl Gurney,Northern Ireland,"(1,646/4,171) 39.46%"
20,Luke Humphries,England,(216/548) 39.42%
21,Darren Johnson,England,(77/196) 39.29%
22,Jamie Lewis,Wales,(310/790) 39.24%
23,Karel Sedlacek,Czech Rep,(40/102) 39.22%
24,Simon Whitlock,Australia,"(1,834/4,692) 39.09%"
25,James Wilson,England,(356/913) 38.99%
26,Andy Hamilton,England,"(629/1,620) 38.83%"
27,Adrian Lewis,England,"(2,200/5,667) 38.82%"
28,Kim Viljanen,Finland,(59/152) 38.82%
29,Gabriel Clemens,Germany,(195/503) 38.77%
30,Mark Walsh,England,(114/295) 38.64%
31,Dave Chisnall,England,"(2,133/5,547) 38.45%"
32,Ricky Evans,England,(361/939) 38.45%
33,Corey Cadby,Australia,(158/411) 38.44%
34,Chris Dobey,England,"(494/1,286) 38.41%"
35,Andrew Gilding,England,(142/370) 38.38%
36,Michael Smith,England,"(1,827/4,778) 38.24%"
37,Benito van de Pas,Netherlands,"(515/1,347) 38.23%"
38,Arron Monk,England,(55/144) 38.19%
39,Ian White,England,"(1,202/3,148) 38.18%"
40,Jamie Caven,England,(322/845) 38.11%
41,Mervyn King,England,"(970/2,552) 38.01%"
42,Joe Cullen,England,"(800/2,115) 37.83%"
43,Kevin Painter,England,(326/863) 37.78%
44,Willie O Connor,Ireland,(272/724) 37.57%
45,Cristo Reyes,Spain,"(421/1,122) 37.52%"
46,Danny Baggish,USA,(39/104) 37.50%
47,Dimitri van den Bergh,Belgium,"(526/1,403) 37.49%"
48,Wes Newton,England,"(470/1,254) 37.48%"
49,Stephen Bunting,England,"(946/2,526) 37.45%"
50,Jeffrey de Zwaan,Netherlands,(324/866) 37.41%