Rank,Player,Country,Nine_darters
1,Phil Taylor,England,21
2,Michael van Gerwen,Netherlands,17
3,Adrian Lewis,England,11
4,Raymond van Barneveld,Netherlands,9
5,Simon Whitlock,Australia,9
6,Dave Chisnall,England,7
7,Kyle Anderson,Australia,6
8,James Wade,England,6
9,Wes Newton,England,5
10,Ian White,England,5
11,Kim Huybrechts,Belgium,5
12,Alan Norris,England,4
13,Colin Lloyd,England,4
14,Mervyn King,England,4
15,Gary Anderson,Scotland,4
16,John Walton,England,3
17,Mark Dudbridge,England,3
18,Colin Osborne,England,3
19,Andy Hamilton,England,3
20,Jamie Lewis,Wales,3
21,Michael Smith,England,3
22,Devon Petersen,South Africa,3
23,Cristo Reyes,Spain,2
24,Jeffrey de Zwaan,Netherlands,2
25,Ross Smith,England,2
26,Steve Brown,England,2
27,Jamie Caven,England,2
28,Jelle Klaasen,Netherlands,2
29,Peter Wright,Scotland,2
30,Darryl Fitton,England,2
31,Robert Thornton,Scotland,2
32,Matt Dicken,England,2
33,Roland Scholten,Netherlands,2
34,Terry Jenkins,England,2
35,Mark Webster,Wales,2
36,Steve Beaton,England,2
37,Darren Webster,England,1
38,Matt Clark,England,1
39,John Magowan,Northern Ireland,1
40,Colin Monk,England,1
41,Richie Burnett,Wales,1
42,Jason Clark,Scotland,1
43,Glen Durrant,England,1
44,Steve Farmer,England,1
45,Stephen Bunting,England,1
46,Martin Phillips,Wales,1
47,Dave Pallett,England,1
48,Co Stompe,Netherlands,1
49,Tony O Shea,England,1
50,Shaun Greatbatch,England,1