Rank,Player,Country,Prize
1,Michael van Gerwen,Netherlands,"£8,284,667"
2,Phil Taylor,England,"£7,216,306"
3,Gary Anderson,Scotland,"£4,044,772"
4,Peter Wright,Scotland,"£3,431,938"
5,James Wade,England,"£3,427,643"
6,Raymond van Barneveld,Netherlands,"£3,350,978"
7,Adrian Lewis,England,"£3,111,634"
8,Simon Whitlock,Australia,"£2,122,499"
9,Dave Chisnall,England,"£1,944,165"
10,Michael Smith,England,"£1,714,685"
11,Mervyn King,England,"£1,710,858"
12,Rob Cross,England,"£1,604,600"
13,Gerwyn Price,Wales,"£1,477,803"
14,Mensur Suljovic,Austria,"£1,397,117"
15,Terry Jenkins,England,"£1,348,883"
16,Daryl Gurney,Northern Ireland,"£1,336,450"
17,Robert Thornton,Scotland,"£1,312,626"
18,Ian White,England,"£1,199,058"
19,Andy Hamilton,England,"£1,087,788"
20,Kim Huybrechts,Belgium,"£1,065,712"
21,Stephen Bunting,England,"£1,047,863"
22,Steve Beaton,England,"£1,009,405"
23,Jelle Klaasen,Netherlands,"£1,006,796"
24,Vincent van der Voort,Netherlands,"£1,002,950"
25,Kevin Painter,England,"£904,771"
26,John Part,Canada,"£898,183"
27,Mark Webster,Wales,"£894,214"
28,Wes Newton,England,"£878,116"
29,Colin Lloyd,England,"£849,569"
30,Brendan Dolan,Northern Ireland,"£834,089"
31,Ronnie Baxter,England,"£816,690"
32,Glen Durrant,England,"£807,372"
33,Justin Pipe,England,"£740,825"
34,Martin Adams,England,"£693,407"
35,Scott Waites,England,"£679,769"
36,Joe Cullen,England,"£663,844"
37,Darren Webster,England,"£612,026"
38,Mark Walsh,England,"£599,292"
39,Nathan Aspinall,England,"£590,175"
40,Jamie Caven,England,"£582,520"
41,Paul Nicholson,Australia,"£581,666"
42,Wayne Jones,England,"£577,686"
43,Benito van de Pas,Netherlands,"£550,846"
44,Alan Norris,England,"£539,662"
45,John Henderson,Scotland,"£532,381"
46,Kyle Anderson,Australia,"£513,176"
47,Jonny Clayton,Wales,"£509,550"
48,Andy Smith,England,"£461,702"
49,Peter Manley,England,"£455,441"
50,Dennis Priestley,England,"£454,656"