Rank,Player,Country,Tournament_Wins
1,Phil Taylor,England,184
2,Michael van Gerwen,Netherlands,145
3,Deta Hedman,England,93
4,Gary Anderson,Scotland,73
5,Larry Butler,USA,64
6,Simon Whitlock,Australia,63
7,Raymond van Barneveld,Netherlands,58
8,Martin Adams,England,57
9,Lisa Ashton,England,52
10,Leonard Gates,USA,50
11,Anastasia Dobromyslova,Russia,48
12,Glen Durrant,England,44
13,James Wade,England,43
14,John Michael,Greece,40
15,Tom Sawyer,USA,40
16,John Part,Canada,37
17,Stephen Bunting,England,37
18,Aileen de Graaf,Netherlands,37
19,Trina Gulliver,England,35
20,Krzysztof Ratajski,Poland,35
21,Scott Waites,England,35
22,Scott Mitchell,England,34
23,Dave Cameron,Canada,33
24,Darin Young,USA,32
25,Darius Labanauskas,Lithuania,32
26,Fallon Sherrock,England,32
27,Peter Wright,Scotland,30
28,Colin Lloyd,England,30
29,Mensur Suljovic,Austria,29
30,Jeff Smith,Canada,29
31,Cody Harris,New Zealand,28
32,Dave Chisnall,England,27
33,Wesley Harms,Netherlands,27
34,Adrian Lewis,England,27
35,Corey Cadby,Australia,26
36,Robbie Phillips,USA,26
37,Joe Chaney,USA,26
38,Mark Hylton,England,26
39,Rob Modra,Australia,24
40,David Platt,England,23
41,Ross Montgomery,Scotland,22
42,Tony O Shea,England,22
43,Madars Razma,Latvia,21
44,Lorraine Winstanley,England,21
45,Kim Viljanen,Finland,21
46,Ian White,England,20
47,John Walton,England,20
48,Jim Widmayer,USA,20
49,Chris White,USA,20
50,Shane Tichowitsch,Australia,20